제품,회사
(주)교문사 고등 정보 AI 디지털 교육자료,(주)교문사
(주)교문사 중등 정보 AI 디지털 교육자료,(주)교문사
(주)금성출판사 고등학교 정보 AI 디지털 교육자료,(주)금성출판사
(주)금성출판사 중학교 정보 AI 디지털 교육자료,(주)금성출판사
(주)도서출판 성안당 교과서 교사용 자료,(주)성안당
(주)아침나라 교과서 학습자료,주식회사 아침나라
1024.kr,에듀집2
10대를 위한 데이터 과학 with 파이썬,주식회사 잇플 ITPLE
10대를 위한 데이터과학 with 엔트리,주식회사 잇플 ITPLE
121종 리딩캣 패키지 명작고전/위인,(주)아이윙티브이
124종 리딩캣 패키지 전세계 수상작,(주)아이윙티브이
16 Personalities,(사)한국디지털교육협회2
1gram 저작도구,주식회사 버블콘
2차원 운동 분석,주식회사 와이케이사이언스
365PLAY 학교 전인교육 솔루션,한국인성교육연구소
3DWOX Desktop,(주) 신도리코
56종 리딩캣 패키지 읽기창작,(주)아이윙티브이
A-City,뉴런커넥트
AI 505_Body 포즈인식 로봇,(주)교육문화
AI BMI & 악력,시스트 주식회사
AI CRAFT,주식회사 단비아이엔씨
AI Class(AI 클래스),(주)윈테크
AI Edu Class,(주) 이노사이언스
AI Feel,폭스커넥트
AI Lab Newton,(주) 빛과 수학
AI SPEAK 2.0 영어,(주)비상교육
AI SPEAK 2.0 한국어,(주)비상교육
AI 과제탐구 프로그램,주식회사 가르침에듀
AI 기반 교육행정·수업지원 자동화 솔루션 - SmoodyAI,주식회사 프롬프트타운
AI 기반 영문법 문항 생성기,주식회사 그래머피티
AI 나눔이,(주)인텔리콘연구소
AI 도면 탐험대 시리즈 8종 세트,제이케이에듀텍컨텐츠
AI 디지털 교육자료 공통수학1,동아출판(주)
AI 디지털 교육자료 공통영어1,동아출판(주)
AI 디지털 교육자료 중학 수학 1,동아출판(주)
AI 디지털 교육자료 중학 수학 2,동아출판(주)
AI 디지털 교육자료 중학 수학1,(주)교학사
AI 디지털 교육자료 중학 수학2,(주)교학사
AI 디지털 교육자료 중학 영어 1 윤정미,동아출판(주)
AI 디지털 교육자료 중학 영어 1 이병민,동아출판(주)
AI 디지털 교육자료 중학 영어 2 윤정미,동아출판(주)
AI 디지털 교육자료 중학 영어 2 이병민,동아출판(주)
AI 디지털 교육자료 중학 정보,동아출판(주)
AI 디지털 교육자료 초등 수학 3-1,동아출판(주)
AI 디지털 교육자료 초등 수학 3-2,동아출판(주)
AI 디지털 교육자료 초등 수학 4-1,동아출판(주)
AI 디지털 교육자료 초등 수학 4-2,동아출판(주)
AI 디지털 교육자료 초등 수학 5-1,동아출판(주)
AI 디지털 교육자료 초등 수학 5-2,동아출판(주)
AI 디지털 교육자료 초등 수학 6-1,동아출판(주)
AI 디지털 교육자료 초등 수학 6-2,동아출판(주)
AI 디지털 교육자료 초등 영어 3,동아출판(주)
AI 디지털 교육자료 초등 영어 4,동아출판(주)
AI 디지털 교육자료 초등 영어 5,동아출판(주)
AI 디지털 교육자료 초등 영어 6,동아출판(주)
AI 러닝 GO,주식회사 아이디씨아시아
AI 레몬톡,(주)와이비엠퍼블위즈(YBMPUBLWIZ)
AI 모두의 자서전,에고라이팅 주식회사
AI 미디어아트 융합수업 플랫폼,에듀집2
AI 바이브 코딩 파이드림,어크로스페이스(주)
AI 보이스_음성인식 기초,(주)교육문화
AI 브레인 문해력 학습 플랫폼,브레인문해력연구소
AI 삐리릭,제이케이에듀텍컨텐츠
AI 상담실 (MIND:ROOM),주식회사 헬프티처
AI 소셜로봇 리쿠,주식회사 토룩
AI 수시면접 코치,(주)삼양문화
AI 쉐도우리딩(슈필라움),주식회사 에듀템
AI 스마트 놀이터 로로큐브,주식회사 잇플 ITPLE
AI 스킬 업,뉴런커넥트
AI 스포츠 박스,시스트 주식회사
AI 스포츠 올인원 A 1.0,시스트 주식회사
AI 스포츠 올인원 B 1.0,시스트 주식회사
AI 아바타 코딩,탑 출판사
AI 에듀 클래스,(주) 이노사이언스
AI 에듀케어봇,렌쥴리에듀테인먼트
AI 역사 인물 인터뷰,주식회사 그룹짓다
AI 영어 Literacy 평가 학습 솔루션 'AI 모비리드',글로벌키타
AI 영어 지문 마스터,(주)비상교육
AI 온북,더에이아이랩주식회사
AI 웹앱 서비스(마이크로비트 연동),(주)바운더리엑스
AI 유아돌봄 플랫폼,주식회사 가르침에듀
AI 윤리 탐정,손창용
AI 음성인식 - 푸리에 LAB [교재+SW 이용권],(주)교육문화
"AI 음악코딩 놀이, 허밍블럭스",네모감성
AI 인강학습 도우미 GPTalk(지피톡),에이아이카데미 주식회사
AI 인공지능 바둑·오목 로봇 센스로봇 GO,민스컴퍼니
AI 자리배치 클래스메트리,한국모레노연구원
AI 천체망원경 (베스페라),주식회사 마르시스에듀
AI 초피티,위드현 에듀테크
AI 코딩과 전통 공연,주식회사 잇플 ITPLE
AI 크래프트,주식회사 단비아이엔씨
AI 탐구 기록 제출,김대진
AI 탐사로봇 테크노시아 행성을 재건하라,주식회사 잇플 ITPLE
AI 토리드론,주식회사 잇플 ITPLE
AI 토핑독서,주식회사 피씨엔씨
AI 패스파인더,주식회사 크레듀
AICE Associate,더에이아이랩주식회사
AIX-mate,유메이커스
AIoT 스마트시티 만들기 (홈/팜/주차장/모빌리티등),(주)메이크잇나우
AI·디지털 교육자료 포털,에듀집2
AI기반 질문생성훈련 콘텐츠,락문
AI로봇집게,네오3D솔루션
AI매일수학,아이스크림미디어
AI매직포유,체인트리 주식회사
AI문해력 진단/트레이닝 학습시스템 (AI SM-119),주식회사 에스엠테크원
AI사장님 클래스,주식회사 유니컵컴퍼니
AI수시면접코치,(주)삼양문화
AI스토리교실,(주)스위트북
AI스포츠박스,시스트 주식회사
"AI시대 미래역량 검사, 디큐",주식회사 코드하나
AI잇플레이와 사회정서학습 [교재+키트],주식회사 잇플 ITPLE
AI최적요리사 - 떡볶이 대결,(주)교육문화
AI포니봇(마이크로비트 기반),(주)바운더리엑스
AI학교생활기록부,주식회사 가르침에듀
AI헬피챗,(주)엘리스그룹
AI활용HR전문가,(주)바른커리어
ALC 학습분석 스테이션 v2,노원비하인드 주식회사
AR 빛 실험실,(주)스튜디오코인
AR 핑거스토리,주식회사 메타존
AREX CLIMB,단테크
AR창의융합영어미술 아토리,주식회사 아토리
"AR책카드, XR책놀이, VR로 떠나는 토론 캠프",국립어린이청소년도서관
AR태양계행성학습카드 / 미래과학 AR,미래과학
Abled PingPong Robot,(주)로보라이즌
Abled pingpong App,(주)로보라이즌
Ableton Live 12,기어라운지 주식회사
Adobe Creative Cloud All apps,한국어도비시스템즈(유)
Agency Workspace,한진세이버(주)
Agisoft Metashape / 3D모델링 및 드론항공지도(정사영상)제작,주식회사 엠지아이에스
AhaSlides,(사)한국디지털교육협회2
"AiSAC (아이작, AI 광고창작 지원 서비스)",한국방송광고진흥공사
Aivy(에이비) 창의 서비스 제작 플랫폼,(주)디에이블
Alan (Alan for Education),이스트소프트
Algodoo,(사)한국디지털교육협회2
AllBody (AI 체력측정 & 체력향상),주식회사 모이다
AllviA,(주)비상교육
Ally Class,블루가(주)
Alphalyzer(알파라이저),한국공인회계사회
"Amplify Classroom, Polypad, Mathigon",(사)한국디지털교육협회2
Animal Typing 동물 타자연습,Corentin Faucher
"Apple School Manager, 교실 앱(Classroom), 스쿨워크(Schoolwork)",(주) 에스에이엠티
ArcGIS Online,"Esri, Inc"
Arkain,주식회사 구름
Arpe,주식회사 플랫뮤직
Artsteps,(사)한국디지털교육협회2
BEEP,비지피웍스
BFStudy(비에프스터디),에듀집2
BIKO,(사)한국비버정보교육연합
BLSN 수능모의고사,비엘소프트
BLhigh 성적처리,비엘소프트
BLjung 성적처리,비엘소프트
BSD,주식회사 아이디씨아시아
BSL Education,주식회사 바토너스
BTF푸른나무재단,푸른나무재단
Baamboozle+,(사)한국디지털교육협회2
Be log (비로그),뉴런커넥트
Blender,Blender Institute BV
Brainingcamp,(사)한국디지털교육협회2
Breakout EDU,(사)한국디지털교육협회2
CCT 진로역량검사,우리맘연구소
CIMCO EDIT / NC코드 검증용,주식회사 제이텍솔루션
CK-12 Foundation,(사)한국디지털교육협회2
CKPASS,무하유
CPR Plus,주식회사 아이엠랩
ChatGPT Enterprise/Edu,(사)한국디지털교육협회2
Citizens,(사)한국디지털교육협회2
Class i,(주)케이아이에스
Class1234 & ClassPay,클래스페이(classpay)
Class2Class.org,Class2Class ApS
ClassCEO(클래스CEO),에듀집2
ClassFin(클래스핀),에듀집2
ClassLive(클래스 라이브),에듀집2
ClassMana,(사)한국디지털교육협회2
ClassPoint,Inknoe
Classkick,(사)한국디지털교육협회2
Classwork.com,(사)한국디지털교육협회2
ClearScanner,(사)한국디지털교육협회2
Clip2Comic,Digital Masterpieces GmbH
"CodeCombat, Ozaria, CodeCombat Jr., AL Hackstack",(사)한국디지털교육협회2
CodeHub(코드헙),에듀집2
CodeUp Class(코드업 클래스),에듀집2
Coggle,(사)한국디지털교육협회2
"Compute it, Little Dot Adventure, Silent Teacher",(사)한국디지털교육협회2
Craft Docs,(사)한국디지털교육협회2
DBT(식행동 검사),주식회사 아이케어솔루션(iCareSolution)
DIT(식생활 섭취 검사),주식회사 아이케어솔루션(iCareSolution)
DIY 종이드론 교육 키트,주식회사 코코드론
DIY 캐릭터 종이코딩드론,주식회사 코코드론
DIYGO 시리즈,(주)로보로보
DRM AI 엑셀 추가 기능,동해삼육사회적협동조합
DST(식생활 스크리닝 검사),주식회사 아이케어솔루션(iCareSolution)
Devth,주식회사 구름
"Discovery Education Experience, Science Techbook, Pivot Interactives, Reading Plus",(사)한국디지털교육협회2
Drawboard PDF,(사)한국디지털교육협회2
DroneBlocks Enterprise Membership,(사)한국디지털교육협회2
EBS AI 단추플러스,한국교육방송공사(EBS)
EBS AI 단추플러스 (https://ai-plus.ebs.co.kr),한국교육방송공사(EBS)
EBS Play (APP 서비스),한국교육방송공사(EBS)
EBS eBook (APP 서비스),한국교육방송공사(EBS)
EBS 고교강의 (APP 서비스),한국교육방송공사(EBS)
EBS 고교강의 웹사이트 (https://www.ebsi.co.kr),한국교육방송공사(EBS)
EBS 교재사이트 및 EBS eBook APP 서비스,한국교육방송공사(EBS)
EBS 구독서비스 웹사이트 (https://www.ebs.co.kr/package),한국교육방송공사(EBS)
EBS 반디 (APP 서비스),한국교육방송공사(EBS)
EBS 북스토리 웹사이트 (https://book.ebs.co.kr),한국교육방송공사(EBS)
EBS 장애인 서비스 (https://www.ebs.co.kr/free),한국교육방송공사(EBS)
EBS 중학 프리미엄 웹사이트 (https://mid.ebs.co.kr),한국교육방송공사(EBS)
EBS 중학ㆍ중학 프리미엄 (APP 서비스),한국교육방송공사(EBS)
EBS 직업,한국교육방송공사(EBS)
EBS 진로탐색검사,주식회사 정동엠피아이
EBS 초등,한국교육방송공사(EBS)
EBS 표준화 심리검사,주식회사 정동엠피아이
EBSMath,한국교육방송공사(EBS)
EBSMath 웹사이트 (https://www.ebsmath.co.kr),한국교육방송공사(EBS)
EBSe 웹사이트 (https://www.ebse.co.kr),한국교육방송공사(EBS)
EBSi (EBS 고교강의 사이트),한국교육방송공사(EBS)
EBS이솦 웹사이트 (https://www.ebssw.kr/),한국교육방송공사(EBS)
ELECTION MANAGER 전자선거/전자투표시스템,(주)우일소프트
EP 로그,에듀집2
EPAPS,주식회사 컴플렉시온
ERS v1.0,(주)케이아이에스
